"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,9,EL DORADO,LT,LAKE TAHOE,ED,EL DORADO COUNTY AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,33,RIVERSIDE,MD,MOJAVE DESERT,SC,SOUTH COAST AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,31,PLACER,LT,LAKE TAHOE,PLA,PLACER COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,52,TEHAMA,SV,SACRAMENTO VALLEY,TEH,TEHAMA COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,13,IMPERIAL,SS,SALTON SEA,IMP,IMPERIAL COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,50,STANISLAUS,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,94094054000000,940,WINDBLOWN DUST,N,0,,0,0
74839,22,MARIPOSA,MC,MOUNTAIN COUNTIES,MPA,MARIPOSA COUNTY APCD,93093402000000,930,WILDFIRES,N,67.8280655,,0.2322878955479452054794520547945205479462,0.00297804994292237442922374429223744292238
108883,48,SOLANO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,93093402000000,930,WILDFIRES,N,11441.39264514,,0.4664625181482387475538160469667318982393,0.391828515244520547945205479452054794521
108883,9,EL DORADO,MC,MOUNTAIN COUNTIES,ED,EL DORADO COUNTY AQMD,93093402000000,930,WILDFIRES,N,1656.01961802,,0.067515476925146771037181996086105675147,0.0567130006171232876712328767123287671235
108883,18,LASSEN,NEP,NORTHEAST PLATEAU,LAS,LASSEN COUNTY APCD,93093402000000,930,WILDFIRES,N,118252.71399636,,4.82113152300880626223091976516634050884,4.04975047932739726027397260273972602742
108883,13,IMPERIAL,SS,SALTON SEA,IMP,IMPERIAL COUNTY APCD,93093402000000,930,WILDFIRES,N,28.96651764,,0.001180957177103718199608610567514677103723,0.000992004028767123287671232876712328767128
74839,12,HUMBOLDT,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,93093402000000,930,WILDFIRES,N,355.2401795,,1.21657595719178082191780821917808219179,0.0155971276563048823322795925535651563049
108883,53,TRINITY,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,93093402000000,930,WILDFIRES,N,549058.25347416,,22.38495814881604696673189823874755381615,18.8033648450054794520547945205479452055
108883,48,SOLANO,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,93093402000000,930,WILDFIRES,N,853.46533728,,0.0347955535420743639921722113502935420745,0.0292282649753424657534246575342465753426
74839,28,NAPA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,93093402000000,930,WILDFIRES,N,465.5411481,,1.59431900034246575342465753424657534248,0.0204399871838777660695468914646996838778
74839,43,SANTA CLARA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,93093402000000,930,WILDFIRES,N,203.9872513,,0.698586477054794520547945205479452054798,0.00895623688531787846856340007024938531791
108883,2,ALPINE,GBV,GREAT BASIN VALLEYS,GBU,GREAT BASIN UNIFIED APCD,93093402000000,930,WILDFIRES,N,17615.74697658,,0.7181892929134050880626223091976516634071,0.603279006047260273972602739726027397262
108883,17,LAKE,LC,LAKE COUNTY,LAK,LAKE COUNTY AQMD,93093402000000,930,WILDFIRES,N,60213.52654272,,2.45488937307240704500978473581213307242,2.06210707338082191780821917808219178083
108883,49,SONOMA,NC,NORTH COAST,NS,NORTHERN SONOMA COUNTY APCD,93093402000000,930,WILDFIRES,N,281610.63696708,,11.48119035253913894324853228962818003919,9.64419989613287671232876712328767123292
108883,38,SAN FRANCISCO,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,93093402000000,930,WILDFIRES,N,0,,0,0
108883,15,KERN,MD,MOJAVE DESERT,KER,EASTERN KERN APCD,93093402000000,930,WILDFIRES,N,10469.25846738,,0.4268288677177103718199608610567514677107,0.358536248882876712328767123287671232877
74839,54,TULARE,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,93093402000000,930,WILDFIRES,N,1361.0105768,,4.66099512602739726027397260273972602742,0.0597563477695820161573586231120477695822
74839,31,PLACER,LT,LAKE TAHOE,PLA,PLACER COUNTY APCD,93093402000000,930,WILDFIRES,N,0,,0,0
74839,17,LAKE,LC,LAKE COUNTY,LAK,LAKE COUNTY AQMD,93093402000000,930,WILDFIRES,N,268.3900448,,0.919143989041095890410958904109589041101,0.0117838972953986652616789603090972953987
108883,4,BUTTE,SV,SACRAMENTO VALLEY,BUT,BUTTE COUNTY AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,43,SANTA CLARA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,33,RIVERSIDE,MD,MOJAVE DESERT,MOJ,MOJAVE DESERT AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,47,SISKIYOU,NEP,NORTHEAST PLATEAU,SIS,SISKIYOU COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
