"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,23099590200000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,341.666716107,,0.0139296606371086105675146771037181996087,0.0117009149351712328767123287671232876713
108883,57,YOLO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,42042060600000,420,FOOD AND AGRICULTURE,SP,9.33295161752075579730890352132837102775,,0.00038050194135358593433255477500523365247,0.000319621630737012184839346011004396268074
108883,50,STANISLAUS,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,23023290540000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,72.53862,,0.002957380136986301369863013698630136986314,0.00248419931506849315068493150684931506851
108883,54,TULARE,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,25029282000000,250,ADHESIVES AND SEALANTS,SP,10.72644663439372982941447671738128169663,,0.00043731436050202747184501291248292896676,0.000367344062821703076349810846485660332078
108883,50,STANISLAUS,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,42041860660000,420,FOOD AND AGRICULTURE,SP,0.0148858411428571428571428571428571428571,,0.0000006068917621843257851085639735346193271822,0.000000509789080234833659491193737769080234833
108883,28,NAPA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,23099590200000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,0.9174984092,,0.00003740616475864318330071754729288975864322,0.0000314211783972602739726027397260273972603
108883,15,KERN,MD,MOJAVE DESERT,KER,EASTERN KERN APCD,69068060000000,690,COOKING,SP,0.4776205714285714285714285714285714285718,,0.00001947246295778585406765445904389152921454,0.0000163568688845401174168297455968688845402
108883,50,STANISLAUS,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,23099590200000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,191.4838625,,0.007806745861872146118721461187214611872169,0.006557666523972602739726027397260273972622
108883,48,SOLANO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,23099590200000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,53.484,,0.002180528375733855185909980430528375733864,0.00183164383561643835616438356164383561644
108883,39,SAN JOAQUIN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,23099590500000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,30.95050106286061342241117522016398420896,,0.001261843650638479020809327104540279851969,0.001059948666536322377479834767813835075654
